CNN,streetname,from_st,to_st,cardinal,addrange,limits,location,theOrder
24429000,08TH ST,GROVE ST \ HYDE ST \ MARKET ST,,,,GROVE ST \ HYDE ST \ MARKET ST intersection,,746
24327000,08TH ST,STEVENSON ST,,,,STEVENSON ST intersection,,748
24311000,08TH ST,MISSION ST,,,,MISSION ST intersection,,750
24310000,08TH ST,MINNA ST,,,,MINNA ST intersection,,752
24302000,08TH ST,NATOMA ST,,,,NATOMA ST intersection,,754
24299000,08TH ST,HOWARD ST,,,,HOWARD ST intersection,,756
24298000,08TH ST,TEHAMA ST,,,,TEHAMA ST intersection,,758
24273000,08TH ST,CLEMENTINA ST,,,,CLEMENTINA ST intersection,,760
24272000,08TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,762
24267000,08TH ST,RINGOLD ST,,,,RINGOLD ST intersection,,764
24266000,08TH ST,HERON ST,,,,HERON ST intersection,,766
24201000,08TH ST,HARRISON ST,,,,HARRISON ST intersection,,768
50080000,08TH ST,I-80 W OFF RAMP,,,,I-80 W OFF RAMP intersection,,770
50081000,08TH ST,I-80 W OFF RAMP,,,,I-80 W OFF RAMP intersection,,772
24199000,08TH ST,BRYANT ST,,,,BRYANT ST intersection,,774
23872000,08TH ST,BRANNAN ST,,,,BRANNAN ST intersection,,776
23871000,08TH ST,TOWNSEND ST,,,,TOWNSEND ST intersection,,778
33620000,08TH ST,DIVISION ST,,,,DIVISION ST intersection,,780
23848000,08TH ST,15TH ST \ CAROLINA ST,,,,15TH ST \ CAROLINA ST intersection,,781
23846000,08TH ST,HOOPER ST,,,,HOOPER ST intersection,,783
23844000,08TH ST,IRWIN ST \ WISCONSIN ST,,,,IRWIN ST \ WISCONSIN ST intersection,,785
23843000,08TH ST,16TH ST,,,,16TH ST intersection,,787
34068000,08TH TI ST,AVENUE H,,,,AVENUE H intersection,,788
34067000,08TH TI ST,AVENUE I,,,,AVENUE I intersection,,790
34066000,08TH TI ST,AVENUE M,,,,AVENUE M intersection,,792
34065000,08TH TI ST,AVENUE N,,,,AVENUE N intersection,,794
51418000,09TH AVE,END,,,,END intersection,,795
27608000,09TH AVE,LAKE ST,,,,LAKE ST intersection,,797
27606000,09TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,799
27291000,09TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,801
27289000,09TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,803
27283000,09TH AVE,ANZA ST,,,,ANZA ST intersection,,805
27281000,09TH AVE,BALBOA ST,,,,BALBOA ST intersection,,807
27280000,09TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,809
27279000,09TH AVE,FULTON ST,,,,FULTON ST intersection,,811
27252000,09TH AVE,MARTIN LUTHER KING JR DR,,,,MARTIN LUTHER KING JR DR intersection,,812
27156000,09TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,814
27154000,09TH AVE,IRVING ST,,,,IRVING ST intersection,,816
27147000,09TH AVE,JUDAH ST,,,,JUDAH ST intersection,,818
27145000,09TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,820
27109000,09TH AVE,LAWTON ST,,,,LAWTON ST intersection,,822
27106000,09TH AVE,MORAGA ST,,,,MORAGA ST intersection,,824
27107000,09TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,826
27097000,09TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,828
27089000,09TH AVE,PACHECO ST,,,,PACHECO ST intersection,,830
27041000,09TH AVE,ALTON AVE,,,,ALTON AVE intersection,,832
27088000,09TH AVE,SOTELO AVE,,,,SOTELO AVE intersection,,834
22981000,09TH AVE,MENDOSA AVE,,,,MENDOSA AVE intersection,,836
22980000,09TH AVE,MESA AVE,,,,MESA AVE intersection,,838
33573000,09TH AVE,END,,,,END intersection,,840
33574000,09TH AVE,UNNAMED 031,,,,UNNAMED 031 intersection,,842
33576000,09TH AVE,END,,,,END intersection,,844
33575000,09TH AVE,UNNAMED 030,,,,UNNAMED 030 intersection,,846
32887000,09TH AVE,12TH AVE \ RIVERA ST,,,,12TH AVE \ RIVERA ST intersection,,849
30745000,09TH ST,LARKIN ST \ MARKET ST,,,,LARKIN ST \ MARKET ST intersection,,850
24416000,09TH ST,JESSIE ST,,,,JESSIE ST intersection,,852
24313000,09TH ST,MISSION ST,,,,MISSION ST intersection,,854
24312000,09TH ST,MINNA ST,,,,MINNA ST intersection,,856
24306000,09TH ST,NATOMA ST,,,,NATOMA ST intersection,,858
24305000,09TH ST,HOWARD ST,,,,HOWARD ST intersection,,860
24297000,09TH ST,TEHAMA ST,,,,TEHAMA ST intersection,,862
24296000,09TH ST,CLEMENTINA ST,,,,CLEMENTINA ST intersection,,864
24246000,09TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,866
24231000,09TH ST,RINGOLD ST,,,,RINGOLD ST intersection,,868
24212000,09TH ST,SHERIDAN ST,,,,SHERIDAN ST intersection,,870
24209000,09TH ST,HARRISON ST,,,,HARRISON ST intersection,,872
24203000,09TH ST,MCLEA CT,,,,MCLEA CT intersection,,874
24198000,09TH ST,BRYANT ST \ HWY 101 N OFF RAMP,,,,BRYANT ST \ HWY 101 N OFF RAMP intersection,,876
23881000,09TH ST,BRANNAN ST,,,,BRANNAN ST intersection,,878
33614000,09TH ST,DIVISION ST,,,,DIVISION ST intersection,,880
34069000,09TH TI ST,AVENUE OF THE PALMS \ PERIMETER PATH,,,,AVENUE OF THE PALMS \ PERIMETER PATH intersection,,881
34070000,09TH TI ST,AVENUE B,,,,AVENUE B intersection,,883
34071000,09TH TI ST,AVENUE D,,,,AVENUE D intersection,,885
34072000,09TH TI ST,AVENUE E,,,,AVENUE E intersection,,887
34073000,09TH TI ST,AVENUE F,,,,AVENUE F intersection,,889
34074000,09TH TI ST,AVENUE H,,,,AVENUE H intersection,,891
34075000,09TH TI ST,AVENUE I,,,,AVENUE I intersection,,893
34076000,09TH TI ST,AVENUE M,,,,AVENUE M intersection,,895
51417000,10TH AVE,END,,,,END intersection,,896
27609000,10TH AVE,LAKE ST,,,,LAKE ST intersection,,898
27607000,10TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,900
27303000,10TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,902
27301000,10TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,904
27295000,10TH AVE,ANZA ST,,,,ANZA ST intersection,,906
27293000,10TH AVE,BALBOA ST,,,,BALBOA ST intersection,,908
27292000,10TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,910
27262000,10TH AVE,FULTON ST,,,,FULTON ST intersection,,912
27259000,10TH AVE,JOHN F KENNEDY DR,,,,JOHN F KENNEDY DR intersection,,914
27157000,10TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,915
27155000,10TH AVE,IRVING ST,,,,IRVING ST intersection,,917
27148000,10TH AVE,JUDAH ST,,,,JUDAH ST intersection,,919
27146000,10TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,921
27110000,10TH AVE,LAWTON ST,,,,LAWTON ST intersection,,923
27108000,10TH AVE,MORAGA ST,,,,MORAGA ST intersection,,925
27100000,10TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,927
27098000,10TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,929
27094000,10TH AVE,PACHECO ST,,,,PACHECO ST intersection,,931
22982000,10TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,933
22983000,10TH AVE,MENDOSA AVE \ UNNAMED 030,,,,MENDOSA AVE \ UNNAMED 030 intersection,,935
30746000,10TH ST,FELL ST \ MARKET ST \ POLK ST,,,,FELL ST \ MARKET ST \ POLK ST intersection,,936
24424000,10TH ST,END,,,,END intersection,,938
24423000,10TH ST,JESSIE ST,,,,JESSIE ST intersection,,940
24415000,10TH ST,JESSIE ST,,,,JESSIE ST intersection,,942
24414000,10TH ST,MISSION ST,,,,MISSION ST intersection,,944
24413000,10TH ST,MINNA ST,,,,MINNA ST intersection,,946
24412000,10TH ST,NATOMA ST,,,,NATOMA ST intersection,,948
24248000,10TH ST,HOWARD ST,,,,HOWARD ST intersection,,950
24233000,10TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,952
24232000,10TH ST,SHERIDAN ST,,,,SHERIDAN ST intersection,,954
24206000,10TH ST,HARRISON ST,,,,HARRISON ST intersection,,956
24192000,10TH ST,BRYANT ST \ HWY 101 S ON RAMP,,,,BRYANT ST \ HWY 101 S ON RAMP intersection,,958
24190000,10TH ST,BRANNAN ST \ DIVISION ST \ POTRERO AVE,,,,BRANNAN ST \ DIVISION ST \ POTRERO AVE intersection,,960
34079000,10TH TI ST,AVENUE M,,,,AVENUE M intersection,,961
34077000,10TH TI ST,AVENUE N,,,,AVENUE N intersection,,963
51416000,11TH AVE,END,,,,END intersection,,964
27612000,11TH AVE,LAKE ST,,,,LAKE ST intersection,,966
27610000,11TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,968
27305000,11TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,970
27302000,11TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,972
27296000,11TH AVE,ANZA ST,,,,ANZA ST intersection,,974
27294000,11TH AVE,BALBOA ST,,,,BALBOA ST intersection,,976
27264000,11TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,978
27263000,11TH AVE,FULTON ST,,,,FULTON ST intersection,,980
27172000,11TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,981
27170000,11TH AVE,IRVING ST,,,,IRVING ST intersection,,983
27160000,11TH AVE,JUDAH ST,,,,JUDAH ST intersection,,985
27158000,11TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,987
27128000,11TH AVE,LAWTON ST,,,,LAWTON ST intersection,,989
27126000,11TH AVE,MORAGA ST,,,,MORAGA ST intersection,,991
27125000,11TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,993
27113000,11TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,995
27099000,11TH AVE,PACHECO ST,,,,PACHECO ST intersection,,997
30747000,11TH ST,MARKET ST,,,,MARKET ST intersection,,998
24421000,11TH ST,MISSION ST,,,,MISSION ST intersection,,1000
24363000,11TH ST,MINNA ST,,,,MINNA ST intersection,,1002
24355000,11TH ST,NATOMA ST,,,,NATOMA ST intersection,,1004
24353000,11TH ST,HOWARD ST,,,,HOWARD ST intersection,,1006
24350000,11TH ST,KISSLING ST,,,,KISSLING ST intersection,,1008
24249000,11TH ST,BURNS PL,,,,BURNS PL intersection,,1010
24238000,11TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1012
24229000,11TH ST,HARRISON ST,,,,HARRISON ST intersection,,1014
24216000,11TH ST,13TH ST \ BRYANT ST \ DIVISION ST,,,,13TH ST \ BRYANT ST \ DIVISION ST intersection,,1016
34082000,11TH TI ST,AVENUE D,,,,AVENUE D intersection,,1017
34083000,11TH TI ST,AVENUE E,,,,AVENUE E intersection,,1019
34084000,11TH TI ST,AVENUE F,,,,AVENUE F intersection,,1021
34085000,11TH TI ST,AVENUE H,,,,AVENUE H intersection,,1023
34086000,11TH TI ST,AVENUE I,,,,AVENUE I intersection,,1025
34087000,11TH TI ST,AVENUE M,,,,AVENUE M intersection,,1027
34088000,11TH TI ST,AVENUE M,,,,AVENUE M intersection,,1028
34089000,11TH TI ST,AVENUE N,,,,AVENUE N intersection,,1030
32887000,12TH AVE,09TH AVE \ RIVERA ST,,,,09TH AVE \ RIVERA ST intersection,,1031
51513000,12TH AVE,END,,,,END intersection,,1033
51415000,12TH AVE,END,,,,END intersection,,1034
27613000,12TH AVE,LAKE ST,,,,LAKE ST intersection,,1036
27611000,12TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,1038
27306000,12TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,1040
27304000,12TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,1042
27299000,12TH AVE,ANZA ST,,,,ANZA ST intersection,,1044
27297000,12TH AVE,BALBOA ST,,,,BALBOA ST intersection,,1046
27267000,12TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,1048
27266000,12TH AVE,FULTON ST,,,,FULTON ST intersection,,1050
27175000,12TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,1051
27171000,12TH AVE,IRVING ST,,,,IRVING ST intersection,,1053
27161000,12TH AVE,JUDAH ST,,,,JUDAH ST intersection,,1055
27159000,12TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,1057
27130000,12TH AVE,LAWTON ST,,,,LAWTON ST intersection,,1059
27129000,12TH AVE,MORAGA ST,,,,MORAGA ST intersection,,1061
27127000,12TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1063
27116000,12TH AVE,PACHECO ST,,,,PACHECO ST intersection,,1064
27111000,12TH AVE,FUNSTON AVE \ ROCKRIDGE DR,,,,FUNSTON AVE \ ROCKRIDGE DR intersection,,1066
27112000,12TH AVE,CRAGMONT AVE \ ROCKRIDGE DR,,,,CRAGMONT AVE \ ROCKRIDGE DR intersection,,1067
32884000,12TH AVE,ROCKRIDGE DR,,,,ROCKRIDGE DR intersection,,1069
27095000,12TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,1071
32885000,12TH AVE,MENDOSA AVE,,,,MENDOSA AVE intersection,,1073
50557000,12TH AVE,END,,,,END intersection,,1075
22968000,12TH AVE,MAGELLAN AVE,,,,MAGELLAN AVE intersection,,1077
22988000,12TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,1079
30749000,12TH ST,MARKET ST \ PAGE ST,,,,MARKET ST \ PAGE ST intersection,,1080
24389000,12TH ST,STEVENSON ST,,,,STEVENSON ST intersection,,1082
24388000,12TH ST,MISSION ST \ OTIS ST \ SOUTH VAN NESS AVE,,,,MISSION ST \ OTIS ST \ SOUTH VAN NESS AVE intersection,,1084
24358000,12TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1085
24354000,12TH ST,HOWARD ST,,,,HOWARD ST intersection,,1087
24348000,12TH ST,KISSLING ST,,,,KISSLING ST intersection,,1089
24347000,12TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1091
24243000,12TH ST,ISIS ST,,,,ISIS ST intersection,,1093
24236000,12TH ST,BERNICE ST,,,,BERNICE ST intersection,,1095
24237000,12TH ST,HARRISON ST,,,,HARRISON ST intersection,,1097
34099000,12TH TI ST,AVENUE B,,,,AVENUE B intersection,,1098
34098000,12TH TI ST,STRIPED BASS ST,,,,STRIPED BASS ST intersection,,1100
34097000,12TH TI ST,STURGEON ST,,,,STURGEON ST intersection,,1102
34096000,12TH TI ST,FLOUNDER CT,,,,FLOUNDER CT intersection,,1104
34095000,12TH TI ST,AVENUE D,,,,AVENUE D intersection,,1106
34092000,12TH TI ST,AVENUE M,,,,AVENUE M intersection,,1107
34091000,12TH TI ST,AVENUE N,,,,AVENUE N intersection,,1109
34090000,12TH TI ST,END,,,,END intersection,,1111
24216000,13TH ST,11TH ST \ BRYANT ST \ DIVISION ST,,,,11TH ST \ BRYANT ST \ DIVISION ST intersection,,1112
24228000,13TH ST,HARRISON ST,,,,HARRISON ST intersection,,1114
33029000,13TH ST,TRAINOR ST,,,,TRAINOR ST intersection,,1117
24349000,13TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1119
33030000,13TH ST,BERNICE ST,,,,BERNICE ST intersection,,1121
33028000,13TH ST,ISIS ST,,,,ISIS ST intersection,,1123
24241000,13TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1126
52256000,13TH ST,HWY 101 S ON RAMP,,,,HWY 101 S ON RAMP intersection,,1129
33027000,13TH ST,DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST \ OTIS ST,,,,DUBOCE AVE \ HWY 101 NORTHBOUND RAMP \ MISSION ST \ OTIS ST intersection,,1131
34100000,13TH TI ST,GATEVIEW AVE,,,,GATEVIEW AVE intersection,,1133
34101000,13TH TI ST,KEPPLER CT,,,,KEPPLER CT intersection,,1135
34102000,13TH TI ST,HUTCHINS CT,,,,HUTCHINS CT intersection,,1137
34103000,13TH TI ST,HALYBURTON CT,,,,HALYBURTON CT intersection,,1139
34104000,13TH TI ST,BIGELOW CT,,,,BIGELOW CT intersection,,1141
53032000,13TH TI ST,END,,,,END intersection,,1143
34106000,13TH TI ST,AVENUE E,,,,AVENUE E intersection,,1144
34107000,13TH TI ST,AVENUE H \ GATEVIEW AVE,,,,AVENUE H \ GATEVIEW AVE intersection,,1146
34108000,13TH TI ST,EXPOSITION DR,,,,EXPOSITION DR intersection,,1148
34109000,13TH TI ST,AVENUE I,,,,AVENUE I intersection,,1150
34110000,13TH TI ST,AVENUE M,,,,AVENUE M intersection,,1152
34111000,13TH TI ST,AVENUE N,,,,AVENUE N intersection,,1154
51487000,14TH AVE,PARK BLVD,,,,PARK BLVD intersection,,1155
27622000,14TH AVE,LAKE ST,,,,LAKE ST intersection,,1157
27621000,14TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,1159
27485000,14TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,1161
27480000,14TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,1163
27476000,14TH AVE,ANZA ST,,,,ANZA ST intersection,,1165
27473000,14TH AVE,BALBOA ST,,,,BALBOA ST intersection,,1167
27448000,14TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,1169
27447000,14TH AVE,FULTON ST,,,,FULTON ST intersection,,1171
27261000,14TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,1172
27174000,14TH AVE,IRVING ST,,,,IRVING ST intersection,,1174
27169000,14TH AVE,JUDAH ST,,,,JUDAH ST intersection,,1176
27167000,14TH AVE,KIRKHAM ST \ LURLINE ST,,,,KIRKHAM ST \ LURLINE ST intersection,,1178
27347000,14TH AVE,15TH AVE \ ALOHA AVE,,,,15TH AVE \ ALOHA AVE intersection,,1179
27139000,14TH AVE,MORAGA ST,,,,MORAGA ST intersection,,1181
27134000,14TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1183
32877000,14TH AVE,ENCINAL WALK,,,,ENCINAL WALK intersection,,1185
27133000,14TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1188
27132000,14TH AVE,ORTEGA ST,,,,ORTEGA ST intersection,,1190
32875000,14TH AVE,MOUNT LN,,,,MOUNT LN intersection,,1192
27123000,14TH AVE,ORTEGA WAY \ PACHECO ST,,,,ORTEGA WAY \ PACHECO ST intersection,,1194
33562000,14TH AVE,AERIAL WAY,,,,AERIAL WAY intersection,,1196
27119000,14TH AVE,RADIO TER,,,,RADIO TER intersection,,1198
27117000,14TH AVE,QUINTARA ST,,,,QUINTARA ST intersection,,1201
32881000,14TH AVE,MANDALAY LN,,,,MANDALAY LN intersection,,1203
27118000,14TH AVE,FANNING WAY,,,,FANNING WAY intersection,,1205
22999000,14TH AVE,RIVERA ST,,,,RIVERA ST intersection,,1208
32888000,14TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,1210
22990000,14TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,1212
22954000,14TH AVE,ULLOA ST,,,,ULLOA ST intersection,,1214
22949000,14TH AVE,VICENTE ST,,,,VICENTE ST intersection,,1216
22944000,14TH AVE,WAWONA ST,,,,WAWONA ST intersection,,1218
22926000,14TH AVE,WEST PORTAL AVE,,,,WEST PORTAL AVE intersection,,1220
22943000,14TH AVE,PORTOLA DR \ SAN ANSELMO AVE \ SANTA ANA AVE,,,,PORTOLA DR \ SAN ANSELMO AVE \ SANTA ANA AVE intersection,,1222
51176000,14TH AVE,WEDEMEYER ST,,,,WEDEMEYER ST intersection,,1223
33033000,14TH ST,HARRISON ST,,,,HARRISON ST intersection,,1225
24337000,14TH ST,TRAINOR ST,,,,TRAINOR ST intersection,,1227
24336000,14TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1229
24339000,14TH ST,SHOTWELL ST,,,,SHOTWELL ST intersection,,1231
24342000,14TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1233
24368000,14TH ST,NATOMA ST,,,,NATOMA ST intersection,,1235
24370000,14TH ST,MINNA ST,,,,MINNA ST intersection,,1237
24372000,14TH ST,MISSION ST,,,,MISSION ST intersection,,1239
24379000,14TH ST,WOODWARD ST,,,,WOODWARD ST intersection,,1241
24373000,14TH ST,JULIAN AVE,,,,JULIAN AVE intersection,,1243
24381000,14TH ST,STEVENSON ST,,,,STEVENSON ST intersection,,1245
24378000,14TH ST,VALENCIA ST,,,,VALENCIA ST intersection,,1247
25835000,14TH ST,GUERRERO ST,,,,GUERRERO ST intersection,,1249
25837000,14TH ST,RAMONA AVE,,,,RAMONA AVE intersection,,1251
25845000,14TH ST,ROSEMONT PL,,,,ROSEMONT PL intersection,,1253
25871000,14TH ST,DOLORES ST,,,,DOLORES ST intersection,,1255
25874000,14TH ST,LANDERS ST,,,,LANDERS ST intersection,,1257
25878000,14TH ST,MARKET ST,,,,MARKET ST intersection,,1259
25882000,14TH ST,CHURCH ST,,,,CHURCH ST intersection,,1261
25883000,14TH ST,BELCHER ST \ BOYNTON CT,,,,BELCHER ST \ BOYNTON CT intersection,,1263
25977000,14TH ST,SANCHEZ ST,,,,SANCHEZ ST intersection,,1265
25980000,14TH ST,WALTER ST,,,,WALTER ST intersection,,1267
25982000,14TH ST,NOE ST,,,,NOE ST intersection,,1269
26004000,14TH ST,CASTRO ST,,,,CASTRO ST intersection,,1271
26007000,14TH ST,DIVISADERO ST,,,,DIVISADERO ST intersection,,1273
26014000,14TH ST,ALPINE TER \ ROOSEVELT WAY,,,,ALPINE TER \ ROOSEVELT WAY intersection,,1275
26015000,14TH ST,BUENA VISTA TER,,,,BUENA VISTA TER intersection,,1277
34114000,14TH TI ST,AVENUE I,,,,AVENUE I intersection,,1278
34113000,14TH TI ST,AVENUE I,,,,AVENUE I intersection,,1280
34112000,14TH TI ST,AVENUE M,,,,AVENUE M intersection,,1282
51488000,15TH AVE,NORTH 15TH AVE,,,,NORTH 15TH AVE intersection,,1283
27625000,15TH AVE,LAKE ST,,,,LAKE ST intersection,,1285
27623000,15TH AVE,CALIFORNIA ST,,,,CALIFORNIA ST intersection,,1287
27489000,15TH AVE,CLEMENT ST,,,,CLEMENT ST intersection,,1289
27488000,15TH AVE,TACOMA ST,,,,TACOMA ST intersection,,1291
27486000,15TH AVE,GEARY BLVD,,,,GEARY BLVD intersection,,1293
27478000,15TH AVE,ANZA ST,,,,ANZA ST intersection,,1295
27474000,15TH AVE,BALBOA ST,,,,BALBOA ST intersection,,1297
27450000,15TH AVE,CABRILLO ST,,,,CABRILLO ST intersection,,1299
27449000,15TH AVE,FULTON ST,,,,FULTON ST intersection,,1301
27358000,15TH AVE,LINCOLN WAY,,,,LINCOLN WAY intersection,,1302
27357000,15TH AVE,IRVING ST,,,,IRVING ST intersection,,1304
27352000,15TH AVE,JUDAH ST,,,,JUDAH ST intersection,,1306
27351000,15TH AVE,KIRKHAM ST,,,,KIRKHAM ST intersection,,1308
27349000,15TH AVE,LAWTON ST \ LOMITA AVE,,,,LAWTON ST \ LOMITA AVE intersection,,1310
27165000,15TH AVE,LAWTON ST,,,,LAWTON ST intersection,,1311
27164000,15TH AVE,ALOHA AVE,,,,ALOHA AVE intersection,,1313
27347000,15TH AVE,14TH AVE \ ALOHA AVE,,,,14TH AVE \ ALOHA AVE intersection,,1314
32878000,15TH AVE,ENCINAL WALK,,,,ENCINAL WALK intersection,,1316
32879000,15TH AVE,CRESTWELL WALK \ NORIEGA ST,,,,CRESTWELL WALK \ NORIEGA ST intersection,,1318
32880000,15TH AVE,MORAGA ST,,,,MORAGA ST intersection,,1320
27325000,15TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1322
27321000,15TH AVE,SHELDON TER,,,,SHELDON TER intersection,,1324
27323000,15TH AVE,NORIEGA ST,,,,NORIEGA ST intersection,,1326
32874000,15TH AVE,MOUNT LN,,,,MOUNT LN intersection,,1328
27308000,15TH AVE,ORTEGA ST \ ORTEGA WAY,,,,ORTEGA ST \ ORTEGA WAY intersection,,1330
27307000,15TH AVE,MANDALAY LN \ PACHECO ST,,,,MANDALAY LN \ PACHECO ST intersection,,1332
23189000,15TH AVE,FANNING WAY \ QUINTARA ST,,,,FANNING WAY \ QUINTARA ST intersection,,1334
23003000,15TH AVE,RIVERA ST,,,,RIVERA ST intersection,,1336
23000000,15TH AVE,RIVERA ST,,,,RIVERA ST intersection,,1337
22994000,15TH AVE,SANTIAGO ST,,,,SANTIAGO ST intersection,,1339
22992000,15TH AVE,TARAVAL ST,,,,TARAVAL ST intersection,,1341
22955000,15TH AVE,ULLOA ST,,,,ULLOA ST intersection,,1343
22953000,15TH AVE,VICENTE ST,,,,VICENTE ST intersection,,1345
22952000,15TH AVE,WAWONA ST,,,,WAWONA ST intersection,,1347
22940000,15TH AVE,WEST PORTAL AVE,,,,WEST PORTAL AVE intersection,,1349
33004000,15TH AVE,PORTOLA DR,,,,PORTOLA DR intersection,,1351
23848000,15TH ST,08TH ST \ CAROLINA ST,,,,08TH ST \ CAROLINA ST intersection,,1353
23849000,15TH ST,DE HARO ST,,,,DE HARO ST intersection,,1355
23857000,15TH ST,RHODE ISLAND ST,,,,RHODE ISLAND ST intersection,,1357
23858000,15TH ST,HENRY ADAMS ST \ KANSAS ST,,,,HENRY ADAMS ST \ KANSAS ST intersection,,1359
23863000,15TH ST,VERMONT ST,,,,VERMONT ST intersection,,1361
23864000,15TH ST,SAN BRUNO AVE,,,,SAN BRUNO AVE intersection,,1363
24185000,15TH ST,UTAH ST,,,,UTAH ST intersection,,1365
24186000,15TH ST,POTRERO AVE,,,,POTRERO AVE intersection,,1367
24193000,15TH ST,HAMPSHIRE ST,,,,HAMPSHIRE ST intersection,,1369
24213000,15TH ST,BRYANT ST,,,,BRYANT ST intersection,,1370
24214000,15TH ST,FLORIDA ST,,,,FLORIDA ST intersection,,1372
24221000,15TH ST,ALABAMA ST,,,,ALABAMA ST intersection,,1373
24222000,15TH ST,TREAT AVE,,,,TREAT AVE intersection,,1375
24223000,15TH ST,HARRISON ST,,,,HARRISON ST intersection,,1377
24224000,15TH ST,HARRISON ST,,,,HARRISON ST intersection,,1378
24335000,15TH ST,FOLSOM ST,,,,FOLSOM ST intersection,,1380
24338000,15TH ST,SHOTWELL ST,,,,SHOTWELL ST intersection,,1382
24341000,15TH ST,SOUTH VAN NESS AVE,,,,SOUTH VAN NESS AVE intersection,,1384
24369000,15TH ST,NATOMA ST,,,,NATOMA ST intersection,,1386
24367000,15TH ST,CAPP ST,,,,CAPP ST intersection,,1388
24371000,15TH ST,MINNA ST,,,,MINNA ST intersection,,1390
24171000,15TH ST,MISSION ST,,,,MISSION ST intersection,,1392
24179000,15TH ST,WIESE ST,,,,WIESE ST intersection,,1394
24182000,15TH ST,JULIAN AVE,,,,JULIAN AVE intersection,,1396
24375000,15TH ST,CALEDONIA ST,,,,CALEDONIA ST intersection,,1398
24377000,15TH ST,VALENCIA ST,,,,VALENCIA ST intersection,,1400
25834000,15TH ST,ALBION ST,,,,ALBION ST intersection,,1402
25701000,15TH ST,GUERRERO ST,,,,GUERRERO ST intersection,,1404
